Data;IPCA - geral - taxa de variação (12 meses) - (% a.a.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCAGA12;
1980.12;99,25;
1981.01;99,67;
1981.02;103,07;
1981.03;101,03;
1981.04;103,27;
1981.05;103;
1981.06;103,41;
1981.07;104,78;
1981.08;105,85;
1981.09;107,88;
1981.10;99,52;
1981.11;96,89;
1981.12;95,62;
1982.01;95,86;
1982.02;96,29;
1982.03;97,68;
1982.04;96,61;
1982.05;98,65;
1982.06;101,64;
1982.07;101,84;
1982.08;102,75;
1982.09;102,41;
1982.10;101,19;
1982.11;101,22;
1982.12;104,79;
1983.01;108;
1983.02;110,38;
1983.03;113,63;
1983.04;115,03;
1983.05;114,67;
1983.06;120,24;
1983.07;127,94;
1983.08;134,69;
1983.09;146,35;
1983.10;156,78;
1983.11;161,9;
1983.12;164,01;
1984.01;166,51;
1984.02;170,57;
1984.03;174,59;
1984.04;182,22;
1984.05;189,03;
1984.06;189,55;
1984.07;188,62;
1984.08;189,25;
1984.09;193,05;
1984.10;197,27;
1984.11;205,97;
1984.12;215,26;
1985.01;221,27;
1985.02;225,28;
1985.03;228,93;
1985.04;224,88;
1985.05;219,36;
1985.06;214,76;
1985.07;216,44;
1985.08;224,26;
1985.09;222,43;
1985.10;222,95;
1985.11;233,02;
1985.12;242,23;
1986.01;250,23;
1986.02;256,08;
1986.03;238,65;
1986.04;215,44;
1986.05;198,38;
1986.06;178,52;
1986.07;156,8;
1986.08;137,33;
1986.09;117,25;
1986.10;100,13;
1986.11;85,17;
1986.12;79,66;
1987.01;77,84;
1987.02;77,71;
1987.03;97,39;
1987.04;133,27;
1987.05;179,4;
1987.06;230,27;
1987.07;254,63;
1987.08;259,14;
1987.09;280,55;
1987.10;315,35;
1987.11;353,27;
1987.12;363,41;
1988.01;386,67;
1988.02;399,9;
1988.03;405,18;
1988.04;405,99;
1988.05;389,19;
1988.06;398,54;
1988.07;456,52;
1988.08;545,24;
1988.09;662,99;
1988.10;761,78;
1988.11;858,09;
1988.12;980,21;
1989.01;1149,22;
1989.02;1160,88;
1989.03;1045,29;
1989.04;940,07;
1989.05;944,5;
1989.06;1001,44;
1989.07;1054,11;
1989.08;1169,15;
1989.09;1269,82;
1989.10;1424,12;
1989.11;1660,95;
1989.12;1972,91;
1990.01;2426,12;
1990.02;3701,29;
1990.03;6390,53;
1990.04;6821,31;
1990.05;6214,99;
1990.06;5385,43;
1990.07;4749,03;
1990.08;3993,62;
1990.09;3304,71;
1990.10;2685,74;
1990.11;2101,34;
1990.12;1620,97;
1991.01;1140,27;
1991.02;752,02;
1991.03;422,84;
1991.04;375,18;
1991.05;374,48;
1991.06;372,1;
1991.07;369,96;
1991.08;381,41;
1991.09;386,55;
1991.10;411,52;
1991.11;448,31;
1991.12;472,7;
1992.01;497,32;
1992.02;515,13;
1992.03;567,21;
1992.04;662,16;
1992.05;785,81;
1992.06;857,68;
1992.07;937,94;
1992.08;996,37;
1992.09;1081,7;
1992.10;1130,94;
1992.11;1104,2;
1992.12;1119,1;
1993.01;1161,79;
1993.02;1168,49;
1993.03;1229,71;
1993.04;1316,42;
1993.05;1348,52;
1993.06;1467,33;
1993.07;1581,7;
1993.08;1730,67;
1993.09;1893,13;
1993.10;2031,27;
1993.11;2258,68;
1993.12;2477,15;
1994.01;2693,84;
1994.02;3035,71;
1994.03;3417,39;
1994.04;3828,49;
1994.05;4331,19;
1994.06;4922,6;
1994.07;4005,08;
1994.08;3044,89;
1994.09;2253,15;
1994.10;1703,17;
1994.11;1267,54;
1994.12;916,46;
1995.01;631,54;
1995.02;426,83;
1995.03;274,78;
1995.04;169,05;
1995.05;91,79;
1995.06;33,03;
1995.07;27,45;
1995.08;26,36;
1995.09;25,69;
1995.10;24,21;
1995.11;22,59;
1995.12;22,41;
1996.01;21,97;
1996.02;21,99;
1996.03;20,55;
1996.04;19,17;
1996.05;17,49;
1996.06;16,26;
1996.07;14,84;
1996.08;14,21;
1996.09;13,26;
1996.10;12,02;
1996.11;10,75;
1996.12;9,56;
1997.01;9,39;
1997.02;8,82;
1997.03;8,99;
1997.04;8,58;
1997.05;7,71;
1997.06;7,02;
1997.07;6,08;
1997.08;5,59;
1997.09;5,5;
1997.10;5,42;
1997.11;5,27;
1997.12;5,22;
1998.01;4,73;
1998.02;4,69;
1998.03;4,52;
1998.04;3,85;
1998.05;3,95;
1998.06;3,41;
1998.07;3,06;
1998.08;2,55;
1998.09;2,27;
1998.10;2,05;
1998.11;1,76;
1998.12;1,65;
1999.01;1,65;
1999.02;2,24;
1999.03;3,02;
1999.04;3,35;
1999.05;3,14;
1999.06;3,32;
1999.07;4,57;
1999.08;5,69;
1999.09;6,25;
1999.10;7,5;
1999.11;8,65;
1999.12;8,94;
2000.01;8,85;
2000.02;7,86;
2000.03;6,92;
2000.04;6,77;
2000.05;6,47;
2000.06;6,51;
2000.07;7,06;
2000.08;7,86;
2000.09;7,77;
2000.10;6,65;
2000.11;5,99;
2000.12;5,97;
2001.01;5,92;
2001.02;6,27;
2001.03;6,44;
2001.04;6,61;
2001.05;7,04;
2001.06;7,35;
2001.07;7,05;
2001.08;6,41;
2001.09;6,46;
2001.10;7,19;
2001.11;7,61;
2001.12;7,67;
2002.01;7,62;
2002.02;7,51;
2002.03;7,75;
2002.04;7,98;
2002.05;7,77;
2002.06;7,66;
2002.07;7,51;
2002.08;7,46;
2002.09;7,93;
2002.10;8,45;
2002.11;10,93;
2002.12;12,53;
2003.01;14,47;
2003.02;15,85;
2003.03;16,57;
2003.04;16,77;
2003.05;17,24;
2003.06;16,57;
2003.07;15,43;
2003.08;15,07;
2003.09;15,14;
2003.10;13,98;
2003.11;11,02;
2003.12;9,3;
2004.01;7,71;
2004.02;6,69;
2004.03;5,89;
2004.04;5,26;
2004.05;5,15;
2004.06;6,06;
2004.07;6,81;
2004.08;7,18;
2004.09;6,7;
2004.10;6,86;
2004.11;7,24;
2004.12;7,6;
2005.01;7,41;
2005.02;7,39;
2005.03;7,54;
2005.04;8,07;
2005.05;8,05;
2005.06;7,27;
2005.07;6,57;
2005.08;6,02;
2005.09;6,04;
2005.10;6,36;
2005.11;6,22;
2005.12;5,69;
2006.01;5,7;
2006.02;5,51;
2006.03;5,32;
2006.04;4,63;
2006.05;4,23;
2006.06;4,03;
2006.07;3,97;
2006.08;3,84;
2006.09;3,7;
2006.10;3,26;
2006.11;3,02;
2006.12;3,14;
2007.01;2,99;
2007.02;3,02;
2007.03;2,96;
2007.04;3;
2007.05;3,18;
2007.06;3,69;
2007.07;3,74;
2007.08;4,18;
2007.09;4,15;
2007.10;4,12;
2007.11;4,19;
2007.12;4,46;
2008.01;4,56;
2008.02;4,61;
2008.03;4,73;
2008.04;5,04;
2008.05;5,58;
2008.06;6,06;
2008.07;6,37;
2008.08;6,17;
2008.09;6,25;
2008.10;6,41;
2008.11;6,39;
2008.12;5,9;
2009.01;5,84;
2009.02;5,9;
2009.03;5,61;
2009.04;5,53;
2009.05;5,2;
2009.06;4,8;
2009.07;4,5;
2009.08;4,36;
2009.09;4,34;
2009.10;4,17;
2009.11;4,22;
2009.12;4,31;
2010.01;4,59;
2010.02;4,83;
2010.03;5,17;
2010.04;5,26;
2010.05;5,22;
2010.06;4,84;
2010.07;4,6;
2010.08;4,49;
2010.09;4,7;
2010.10;5,2;
2010.11;5,63;
2010.12;5,91;
2011.01;5,99;
2011.02;6,01;
2011.03;6,3;
2011.04;6,51;
2011.05;6,55;
2011.06;6,71;
2011.07;6,87;
2011.08;7,23;
2011.09;7,31;
2011.10;6,97;
2011.11;6,64;
2011.12;6,5;
2012.01;6,22;
2012.02;5,84;
2012.03;5,24;
2012.04;5,1;
2012.05;4,99;
2012.06;4,92;
2012.07;5,2;
2012.08;5,24;
2012.09;5,28;
2012.10;5,45;
2012.11;5,53;
2012.12;5,84;
2013.01;6,15;
2013.02;6,31;
2013.03;6,59;
2013.04;6,49;
2013.05;6,5;
2013.06;6,7;
2013.07;6,27;
2013.08;6,09;
2013.09;5,86;
2013.10;5,84;
2013.11;5,77;
2013.12;5,91;
2014.01;5,59;
2014.02;5,68;
2014.03;6,15;
2014.04;6,28;
2014.05;6,37;
2014.06;6,52;
2014.07;6,5;
2014.08;6,51;
2014.09;6,75;
2014.10;6,59;
2014.11;6,56;
2014.12;6,41;
2015.01;7,14;
2015.02;7,7;
2015.03;8,13;
2015.04;8,17;
2015.05;8,47;
2015.06;8,89;
2015.07;9,56;
2015.08;9,53;
2015.09;9,49;
2015.10;9,93;
2015.11;10,48;
2015.12;10,67;
2016.01;10,71;
2016.02;10,36;
2016.03;9,39;
2016.04;9,28;
2016.05;9,32;
2016.06;8,84;
2016.07;8,74;
2016.08;8,97;
2016.09;8,48;
2016.10;7,87;
2016.11;6,99;
2016.12;6,29;
2017.01;5,35;
2017.02;4,76;
2017.03;4,57;
2017.04;4,08;
2017.05;3,6;
2017.06;3;
2017.07;2,71;
2017.08;2,46;
2017.09;2,54;
2017.10;2,7;
2017.11;2,8;
2017.12;2,95;
2018.01;2,86;
2018.02;2,84;
2018.03;2,68;
2018.04;2,76;
2018.05;2,86;
2018.06;4,39;
2018.07;4,48;
2018.08;4,19;
2018.09;4,53;
2018.10;4,56;
2018.11;4,05;
2018.12;3,75;
2019.01;3,78;
2019.02;3,89;
2019.03;4,58;
2019.04;4,94;
2019.05;4,66;
2019.06;3,37;
2019.07;3,22;
2019.08;3,43;
2019.09;2,89;
2019.10;2,54;
2019.11;3,27;
2019.12;4,31;
2020.01;4,19;
2020.02;4,01;
2020.03;3,3;
2020.04;2,4;
2020.05;1,88;
2020.06;2,13;
2020.07;2,31;
2020.08;2,44;
2020.09;3,14;
2020.10;3,92;
2020.11;4,31;
2020.12;4,52;
2021.01;4,56;
2021.02;5,2;
2021.03;6,1;
2021.04;6,76;
2021.05;8,06;
2021.06;8,35;
2021.07;8,99;
2021.08;9,68;
2021.09;10,25;
2021.10;10,67;
2021.11;10,74;
2021.12;10,06;
2022.01;10,38;
2022.02;10,54;
2022.03;11,3;
2022.04;12,13;
2022.05;11,73;
2022.06;11,89;
2022.07;10,07;
2022.08;8,73;
2022.09;7,17;
2022.10;6,47;
2022.11;5,9;
2022.12;5,79;
2023.01;5,77;
2023.02;5,6;
2023.03;4,65;
2023.04;4,18;
2023.05;3,94;
2023.06;3,16;
2023.07;3,99;
2023.08;4,61;
2023.09;5,19;
2023.10;4,82;
2023.11;4,68;
2023.12;4,62;
2024.01;4,51;
2024.02;4,5;
2024.03;3,93;
2024.04;3,69;
2024.05;3,93;
2024.06;4,23;
2024.07;4,5;
2024.08;4,24;
2024.09;4,42;
2024.10;4,76;
2024.11;4,87;
2024.12;4,83;
2025.01;4,56;
2025.02;5,06;
2025.03;5,48;
2025.04;5,53;
2025.05;5,32;
2025.06;5,35;
2025.07;5,23;
2025.08;5,13;
2025.09;5,17;
2025.10;4,68;
2025.11;4,46;
2025.12;4,26;
2026.01;4,44;
2026.02;3,81;
