ano;mês;IPCA
2021;1;1,02
2021;2;0,27
2021;3;0,13
2021;4;0,4
2021;5;0,44
2021;6;0,43
2021;7;0,6
2021;8;1,39
2021;9;1,02
2021;10;1,17
2021;11;-0,04
2021;12;0,84
2022;1;1,11
2022;2;1,28
2022;3;2,42
2022;4;2,06
2022;5;0,48
2022;6;0,8
2022;7;1,3
2022;8;0,24
2022;9;-0,51
2022;10;0,72
2022;11;0,53
2022;12;0,66
2023;1;0,59
2023;2;0,16
2023;3;0,05
2023;4;0,71
2023;5;0,16
2023;6;-0,66
2023;7;-0,46
2023;8;-0,85
2023;9;-0,71
2023;10;0,31
2023;11;0,63
2023;12;1,11
2024;1;1,38
2024;2;0,95
2024;3;0,53
2024;4;0,7
2024;5;0,62
2024;6;0,44
2024;7;-1
2024;8;-0,44
2024;9;0,5
2024;10;1,06
2024;11;1,55
2024;12;1,18
2025;1;0,96
2025;2;0,7
2025;3;1,17
2025;4;0,82
2025;5;0,17
2025;6;-0,18
2025;7;-0,27
2025;8;-0,46
2025;9;-0,26
2025;10;0,01
2025;11;-0,01
2025;12;0,27
